Employability ratio,List of local jobs,Number of local jobs with a strong matching,Number of local jobs that need training,List of companies,Number of relevent companies (if they posted a job + high recruitment potential),Number of companies in relevent industries,Suggested training (best opportunity),Code de la ressource,Nom,Prénom,Date de naissance,Age nombre,Ancienneté,Ancienneté nombre,Code type de contrat,Catégorie socioprofessionnelle,Date de paiement,Indicateur ETP mois,Motif de suspension absence,Suspension =1,Suspension H20,Catégorie conventionnelle,Nom catégorie conventionnelle,Nom niveau echelon,Niveau - Echelon individuel,Bac,Nom du rôle,ROME CODE,emploi sensible GEPP,emploi en dev GEPP,Nom niveau Danone,Pourcentage d'activité,ETP ,Date de début,Date de fin,Nom de l'unité de travail,Nom sous direction,Nom direction,Libellé du lieu de travail,sexe,forfait
,,,,,,,,291603,,,32702,30,42611,3,CDI,C,43976,1,,,#N/A,14,Cadre,9.2,,Bac + 5,Adjointe RH,Laura & Aïna,,,9 Manager,100,1,42611,,SERVICE RELATIONS HUMAINES VILLE,SERVICE RELATIONS HUMAINES VILLE,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,1
,,,,,,,,348665,,,36857,19,43731,0,PRO1,O,43976,1,,,#N/A,30,Ouvrier,4.1,,Bac+2/3,Alternant Technicien de maintenance process,,,O,Non Manager 100,100,1,43731,,USINE DE VILLECOMTAL,USINE DE VILLECOMTAL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,391326,,,35297,23,43710,0,PRO1,TAM,43976,1,,,#N/A,20,Agent de Maîtrise,7.1,,Bac + 3,Alternante Controle de Gestion Des Flux,,,O,Non Manager 100,100,1,43710,,SERVICE GESTION VILLECOMTAL,SERVICE GESTION VILLECOMTAL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,0
,,,,,,,,56036,,,23376,56,31540,34,CDI,TAM,43976,1,,,#N/A,16,Article 4 bis,8.2,,Bac + 3,Animateur securite,,,,Non Manager 100,100,1,36617,,SERVICE GESTION QUALITÉ VILLECOM,SERVICE GESTION QUALITÉ VILLECOM,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,1
,,,,,,,,39995,,,26751,47,39114,13,CDI,TAM,43976,1,,,#N/A,20,Agent de Maîtrise,6.2,,Bac+2/3,Animatrice Qualite,,,,Non Manager 100,100,1,40664,,SERVICE GESTION QUALITÉ VILLECOM,SERVICE GESTION QUALITÉ VILLECOM,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,0
,,,,,,,,353097,,,36237,21,43346,1,CAP,O,43976,1,,,#N/A,30,Ouvrier,,,,APPRENTI,,,,Non Manager 100,100,1,43346,,USINE DE VILLECOMTAL,USINE DE VILLECOMTAL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,0
,,,,,,,,391331,,,36398,20,43710,0,CAP,O,43976,1,,,#N/A,30,Ouvrier,5.1,,Bac+2/3,Apprentie Laboratoire,,,,Non Manager 100,100,1,43710,,SERVICE GESTION QUALITÉ VILLECOM,SERVICE GESTION QUALITÉ VILLECOM,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,0
,,,,,,,,391329,,,34295,26,43710,0,CAP,TAM,43976,1,,,#N/A,16,Article 4 bis,8.1,,Bac + 3,Apprentie Securite,,,,Non Manager 100,100,1,43710,,SERVICE GESTION QUALITÉ VILLECOM,SERVICE GESTION QUALITÉ VILLECOM,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,0
,,,,,,,,324356,,,35243,23,42982,2,CAP,TAM,43976,1,,,#N/A,16,Article 4 bis,8.1,,Bac + 3,APRRENTIE PRODUCTION,,,,Non Manager 100,100,1,42982,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,0
,,,,,,,,56034,,,21688,61,29204,40,CDI,TAM,43976,1,,,#N/A,20,Agent de Maîtrise,6.3,,Bac+2/3,Assistante de gestion,,,,Non Manager 100,100,1,36617,,SERVICE GESTION VILLECOMTAL,SERVICE GESTION VILLECOMTAL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,1
,,,,,,,,33376,,,23532,56,34760,25,CDI,O,43976,1,,,#N/A,30,Ouvrier,4.2,,Bac+2/3,Conducteur d Installation Fruits,,O,,Non Manager 100,100,1,36617,,SERVICE FRUITS,SCE FRUITS,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,36101,,,27377,45,35380,23,CDI,O,43976,1,,,#N/A,30,Ouvrier,4.2,,Bac+2/3,Conducteur d Installation Fruits,,O,,Non Manager 100,100,1,36617,,SERVICE FRUITS,SCE FRUITS,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,37949,,,24214,54,32447,31,CDI,O,43976,0.69,,,#N/A,30,Ouvrier,4.2,,Bac+2/3,Conducteur d Installation Fruits,,O,,Non Manager 100,68.57,0.6857,37865,,SERVICE FRUITS,SCE FRUITS,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,42026,,,27018,46,35964,22,CDI,O,43976,1,,,#N/A,30,Ouvrier,4.2,,Bac+2/3,Conducteur d Installation Fruits,,O,,Non Manager 100,100,1,36617,,SERVICE FRUITS,SCE FRUITS,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,44722,,,22914,57,30970,35,CDI,O,43976,1,,,#N/A,30,Ouvrier,4.2,,Bac+2/3,Conducteur d Installation Fruits,,O,,Non Manager 100,100,1,36617,,SERVICE FRUITS,SCE FRUITS,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,50685,,,23035,57,32672,31,CDI,O,43976,1,,,#N/A,30,Ouvrier,4.2,,Bac+2/3,Conducteur d Installation Fruits,,O,,Non Manager 100,100,1,36617,,SERVICE FRUITS,SCE FRUITS,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,56037,,,22272,59,30303,37,CDI,O,43976,1,,,#N/A,30,Ouvrier,4.2,,Bac+2/3,Conducteur d Installation Fruits,,O,,Non Manager 100,100,1,36617,,SERVICE FRUITS,SCE FRUITS,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
